id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_val,rating,text_review
22958516,Center of it all Bushwick apartment,170095185,Aaron,Brooklyn,Bushwick,40.70733,-73.92028,Private room,29,2,3,2/21/2018,0.17,1,0,4.5,1.5,
22928463,Great apartment in Bushwick available in Feb,35510045,Aaron,Brooklyn,Bushwick,40.705,-73.91933,Private room,27,14,1,,,1,0,1,1,
30377021,Shared Room 4 FEMALE Guests 30mins to Manhattan-2,172369331,Abby,Brooklyn,Sheepshead Bay,40.5981,-73.9584,Shared room,25,7,2,6/1/2019,1.15,10,290,3,1.5,
33429492,FEMALE SHARED ROOM 3 Single Beds Near Subway-1,172369331,Abby,Brooklyn,Coney Island,40.57776,-73.98313,Shared room,25,3,2,6/11/2019,1.05,10,0,3,1.5,
34601569,Shared Room 4 FEMALE Guests 30mins to Manhattan-1,172369331,Abby,Brooklyn,Sheepshead Bay,40.59842,-73.95667,Shared room,20,2,1,6/1/2019,0.77,10,342,1.5,1.5,
34413482,1 Bed in the Living Room Shared Stay for Male,172369331,Abby,Brooklyn,Coney Island,40.57607,-73.9833,Shared room,25,5,1,5/31/2019,0.75,10,129,1.5,1.5,
30548591,FEMALE SHARED ROOM3 Single Beds Near Subway-3,172369331,Abby,Brooklyn,Coney Island,40.57863,-73.98455,Shared room,29,18,1,2/15/2019,0.21,10,221,1.5,1.5,
34647648,Shared Apartment 1 bed in the living room Qsubway,172369331,Abby,Brooklyn,Sheepshead Bay,40.59932,-73.95936,Shared room,20,7,1,,,10,281,1,1,
20639792,Contemporary bedroom in brownstone with nice view,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68279,-73.9117,Private room,50,1,95,6/21/2019,4.37,6,232,351.5,3.7,
20639914,Cozy yet spacious private brownstone bedroom,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68258,-73.91284,Private room,50,1,95,6/23/2019,4.35,6,222,351.5,3.7,
20639628,Spacious comfortable master bedroom with nice view,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68173,-73.91342,Private room,50,1,93,6/15/2019,4.28,6,176,344.1,3.7,
13859196,Cozy Room In the Heart of Astoria,28003040,Adrian,Queens,Astoria,40.76249,-73.91176,Private room,30,2,56,10/1/2017,1.57,1,0,207.2,3.7,
22638442,A Brief Welcome,22445332,Adrian,Brooklyn,Crown Heights,40.67157,-73.93434,Private room,25,1,1,1/17/2018,0.06,1,0,1.5,1.5,
29414633,private room,221574115,Ahmet,Brooklyn,Bensonhurst,40.61208,-74.00181,Shared room,15,10,1,,,2,0,1,1,
34180340,Sunny & Spacious Room,181233778,Aishah,Bronx,Belmont,40.85595,-73.88519,Private room,27,30,1,,,1,68,1,1,
23253216,Artsy Queen Room in BUSHWICK: Jefferson L train,9484908,Aj,Queens,Ridgewood,40.70991,-73.91832,Private room,30,3,13,6/19/2019,0.84,2,65,19.5,1.5,
16465524,Shared Room in Brooklyn,40871485,Ajay,Brooklyn,Bay Ridge,40.63821,-74.0273,Shared room,22,5,1,1/14/2017,0.03,1,0,1.5,1.5,
31194144,Brooklyn apt 10 mins to Manhattan by subway,129022496,Alan,Brooklyn,Bedford-Stuyvesant,40.67872,-73.94805,Private room,20,10,8,7/1/2019,1.4,2,38,12,1.5,
31181911,Brooklyn apt 10 minutes to Manhattan by subway,129022496,Alan,Brooklyn,Bedford-Stuyvesant,40.68093,-73.94922,Private room,20,10,3,5/8/2019,0.57,2,17,4.5,1.5,
11959854,Affordable Private Cozy Room!,45990565,Alba & Genesis,Bronx,Morris Heights,40.8522,-73.91014,Private room,26,3,21,6/8/2019,0.64,2,127,52.5,2.5,
25776914,BROOKLYN Quiet Den,12219437,Alex,Brooklyn,Canarsie,40.64795,-73.89337,Private room,25,2,36,6/16/2019,2.76,1,144,90,2.5,
